  group,name,province,publish_date,short_bio,title,url
party leader,张玉卓,天津,"（人民网资料 截至2017年10月）
","

			　　张玉卓，男，汉族，1962年1月生，山东寿光人，1985年5月加入中国共产党，1985年7月参加工作，煤炭科学研究总院北京开采研究所采矿工程专业毕业，研究生学历，北京科技大学工学博士，研究员。",天津市委常委、滨海新区区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage16595.htm
party leader,喻云林,天津,"（人民网资料 截至2018年4月）
","

			　　喻云林，男，汉族，1962年12月生，湖南安乡人，1987年6月加入中国共产党，1982年7月参加工作，中南林学院林学系林学专业毕业，研究生学历，林学硕士，工程师。",天津市委常委、组织部部长,http://ldzl.people.com.cn/dfzlk/front/personPage12738.htm
party leader,邓修明,天津,"（人民网资料 截至2018年1月）
","

			　　邓修明，男，汉族，1964年12月生，四川蓬溪人，1992年3月加入中国共产党，1981年7月参加工作，研究生学历，法学博士。",天津市委常委、市纪委书记，市监察委员会主任,http://ldzl.people.com.cn/dfzlk/front/personPage16260.htm
party leader,赵飞,天津,"（人民网资料 截至2017年7月）
","

			　　赵飞，男，汉族，1964年1月生，湖北沙洋人，1986年12月加入中国共产党，1984年8月参加工作，华中师范大学中共党史专业毕业，在职研究生学历，法学硕士。",天津市委常委、政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15562.htm
party leader,陈浙闽,天津,"（人民网资料 截至2017年5月）
","

			　　陈浙闽，男，汉族，1961年6月生，浙江文成人，1982年5月加入中国共产党，1977年3月参加工作，中央党校理论部党的学说和党的建设专业毕业，研究生学历，法学硕士，教授。",天津市委常委、宣传部部长,http://ldzl.people.com.cn/dfzlk/front/personPage12146.htm
party leader,冀国强,天津,"（人民网资料 截至2017年6月）
","

			　　冀国强，男，汉族，1965年11月生，河南汝南人，1987年6月加入中国共产党，1988年8月参加工作，中央财政金融学院财政系财政专业毕业，大学学历，北京大学与国家行政学院合作培养公共管理硕士。",天津市委常委、统战部部长,http://ldzl.people.com.cn/dfzlk/front/personPage4075.htm
party leader,李毅,天津,"（人民网资料 截至2017年5月）
","

			　　李毅，男，汉族，1963年9月生，天津市人，1984年7月加入中国共产党，1984年7月参加工作，南开大学哲学系哲学专业大学本科毕业，南开大学哲学系中国哲学史专业毕业，在职研究生学历，哲学博士，教授。",天津市委常委、市委秘书长,http://ldzl.people.com.cn/dfzlk/front/personPage16774.htm
admin leader,曹小红,天津,"（人民网资料 截至2018年3月）
","

			　　曹小红，女，回族，1961年5月生，吉林乾安人，致公党成员，1983年8月参加工作，研究生学历，农学博士，教授。",天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage5414.htm
admin leader,孙文魁,天津,"（人民网资料 截至2018年1月）
","

			　　孙文魁，男，汉族，1962年6月生，天津市人，1983年12月加入中国共产党，1985年7月参加工作，中央党校研究生学历。",天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage5424.htm
admin leader,赵海山,天津,"（人民网资料 截至2018年1月）
","

			　　赵海山，男，汉族，1962年10月生，河北深州人，1983年5月加入中国共产党，1984年8月参加工作，在职研究生学历，管理学博士，研究员、高级工程师。",天津市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage15362.htm
