group,link,name,province,title
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage15937.htm,孟海,青海,市（区、州）长行署专员
top four,http://ldzl.people.com.cn/dfzlk/front/personPage5033.htm,石泰峰,宁夏,党委书记
top four,http://ldzl.people.com.cn/dfzlk/front/personPage5033.htm,石泰峰,宁夏,区人大主任
top four,http://ldzl.people.com.cn/dfzlk/front/personPage6623.htm,咸辉,宁夏,区政府主席
top four,http://ldzl.people.com.cn/dfzlk/front/personPage6683.htm,崔波,宁夏,区政协主席
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage5033.htm,石泰峰,宁夏,书 　 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6623.htm,咸辉,宁夏,副 书 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage5297.htm,姜志刚,宁夏,副 书 记 ：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6203.htm,张超超,宁夏,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage6659.htm,马顺清,宁夏,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage15621.htm,许传智,宁夏,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage14782.htm,纪峥,宁夏,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4489.htm,盛荣华,宁夏,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4829.htm,赵永清,宁夏,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage4830.htm,白尚成,宁夏,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage12752.htm,张柱,宁夏,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage18662.htm,潘武俊,宁夏,其他常委：
party leader,http://ldzl.people.com.cn/dfzlk/front/personPage16640.htm,张韵声,宁夏,其他常委：
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage6203.htm,张超超,宁夏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage6659.htm,马顺清,宁夏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage6703.htm,王和山,宁夏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage15579.htm,刘可为,宁夏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage16213.htm,许尔锋,宁夏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage4834.htm,马汉成,宁夏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
admin leader,http://ldzl.people.com.cn/dfzlk/front/personPage18743.htm,杨培君,宁夏,"
            
	      		副 主 席 ： 
	      		
            	
	      	"
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage5297.htm,姜志刚,宁夏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4827.htm,彭友东,宁夏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16238.htm,沈左权,宁夏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage16817.htm,何健,宁夏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12752.htm,张柱,宁夏,书记
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage18581.htm,杨玉经,宁夏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage8549.htm,李郁华,宁夏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12762.htm,喜清江,宁夏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage12163.htm,万新恒,宁夏,市（区、州）长行署专员
district leader,http://ldzl.people.com.cn/dfzlk/front/personPage4834.htm,马汉成,宁夏,市（区、州）长行署专员
top four,http://ldzl.people.com.cn/dfzlk/front/personPage4958.htm,陈全国,新疆,党委书记
top four,http://ldzl.people.com.cn/dfzlk/front/personPage6714.htm,肖开提·依明,新疆,区人大主任
